"no","en","ja","example_en","example_ja"
"1647","field-level","フィールドレベル","You can set field-level permissions for your AWS users.","AWSユーザーに対してフィールドレベルの権限を設定することができます。"
"1648","matter","問題","Security matters should be a top priority when using AWS services.","AWSサービスを使用する際には、セキュリティの問題が最優先事項であるべきです。"
"1649","lightweight","軽量","Amazon provides a lightweight messaging service called Simple Notification Service (SNS).","AmazonはSimple Notification Service（SNS）という軽量なメッセージングサービスを提供しています。"
"1650","unsupported","サポートされていない","Unsupported features may not work properly with AWS services.","サポートされていない機能は、AWSサービスと正常に動作しない場合があります。"
"1651","unauthorized","権限がない","Unauthorized users will not be able to access your AWS resources.","権限のないユーザーはAWSリソースにアクセスできません。"
"1652","audio","オーディオ","AWS offers various services for audio processing and streaming.","AWSはオーディオ処理やストリーミングのためのさまざまなサービスを提供しています。"
"1653","short","短い","Shorter response times can be achieved by using AWS Lambda.","AWS Lambdaを使用することで、より短い応答時間を実現できます。"
"1654","experience","経験","Developers with AWS experience are in high demand.","AWSの経験を持つ開発者は非常に需要が高いです。"
"1655","rare","まれな","Rare issues can be difficult to troubleshoot in a cloud environment.","まれな問題はクラウド環境でのトラブルシューティングが難しいことがあります。"
"1656","practical","実用的な","AWS provides practical solutions for various business needs.","AWSはさまざまなビジネスニーズに対する実用的なソリューションを提供しています。"
"1657","readability","読みやすさ","The readability of the AWS documentation is important for users to understand the services.","AWSドキュメントの読みやすさは、ユーザーがサービスを理解するために重要です。"
"1658","eliminate","除去する","To improve performance, we should eliminate unnecessary processes in our AWS infrastructure.","パフォーマンスを向上させるために、AWSインフラストラクチャで不要なプロセスを除去する必要があります。"
"1659","stamp","スタンプ","You can use AWS CloudFormation StackSets to stamp out multiple instances of a stack across accounts and regions.","AWS CloudFormation StackSetsを使用して、アカウントやリージョン間でスタックの複数のインスタンスをスタンプアウトできます。"
